incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes,victim_age_group,suspect_age_group
INC001115,asslt,south,maplewood,GA,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:00,OFF0078,Emily,Davis,1342.0,SUS00281,Barbara,Thomas,51.0,male,asian,VIC00642,Robert,Torres,51.0,unknown,6223265920,firearm,medium,open,no arrest,0.0,22774.688522222223,yes,Incident at 2830 Cedar Lane. Officer responded at scene.,50-64,50-64
INC002249,homocide,southwest,lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:00,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,female,asian,VIC00518,Richard,Hill,29.0,other,244-584-7696,knife,low,closed,warning issued,2.0,15963.38,yes,Incident at 1067 Main St. Officer responded at scene.,25-34,18-24
INC000488,domestc violence,north,lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:00,OFF0083,Susan,Flores,6220.0,SUS00751,Thomas,Jackson,75.0,female,white,VIC00512,Thomas,Thomas,51.0,male,9698766873,unarmed,medium,closed,warning issued,2.0,23513.01,yes,unknown,50-64,65+
INC000661,breaking & entering,east,hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,2021-07-24 20:08:00,OFF0089,Jennifer,Green,7082.0,SUS00454,James,Lee,73.0,unknown,white,VIC00473,Anthony,Wilson,15.0,unknown,590-332-6488,blunt object,high,investigation,arrested,1.0,22774.688522222223,yes,Incident at 3551 Elm Blvd. Officer responded at scene.,13-17,65+
INC001727,robbery,southeast,maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:00,OFF0141,Jennifer,Harris,7747.0,SUS00623,Carol,Harris,58.0,female,unknown,VIC00429,Mary,Walker,72.0,female,431-579-6170,blunt object,unknown,closed,warning issued,3.0,22774.688522222223,yes,Incident at 7394 Cedar Lane. Officer responded at scene.,65+,50-64
INC003981,manslaughter,midtown,centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:00,OFF0008,Karen,Hall,7869.0,SUS00533,Jennifer,Taylor,73.0,male,white,VIC00904,David,Torres,52.22803904170364,female,587-505-1798,unknown,low,open,no arrest,2.0,19075.36,no,Incident at 1610 River Rd. Officer responded at scene.,50-64,65+
INC001205,b&e,east,centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:00,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,male,hispanic,VIC00093,Mary,Lee,55.0,other,3956212676,hands,critical,investigation,warning issued,0.0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.,50-64,25-34
INC000972,homocide,northeast,riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:00,OFF0093,Mary,Thompson,7242.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00859,Michelle,Hill,10.0,unknown,376-440-3132,rifle,medium,investigation,unknown,5.0,35339.52,unknown,unknown,0-12,35-49
INC002898,property damage,central,oakdale,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:00,OFF0035,John,Jones,9036.0,SUS00005,Ashley,Harris,49.0,female,black,VIC00682,Mark,Young,47.0,unknown,596-444-9767,unknown,high,investigation,unknown,0.0,27438.67,no,Incident at 9798 Elm Blvd. Officer responded at scene.,35-49,35-49
INC003264,narcotics,central,fairview,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:00,OFF0111,Donna,Thompson,4688.0,unknown,unknown,unknown,48.560030015007506,unknown,unknown,VIC00084,Anthony,Nguyen,35.0,unknown,855-624-8658,bat,low,open,unknown,5.0,41738.8,yes,unknown,35-49,35-49
INC003052,burglry,east,hillcrest,OH,5420 River Rd,47.020966,-83.072251,2020-07-04 13:31:00,OFF0104,James,Taylor,5554.343440724363,SUS00783,Anthony,Martin,33.0,male,asian,VIC00960,Mark,Taylor,55.0,male,832-278-8736,rifle,critical,unknown,warning issued,2.0,34291.84,no,Incident at 5420 River Rd. Officer responded at scene.,50-64,25-34
INC000560,fraudulent activity,midtown,centerville,OH,5094 Main St,28.121432,-84.979481,2020-01-04 03:09:00,OFF0046,Donna,Thompson,8121.0,SUS00074,Daniel,Thompson,52.0,other,white,VIC00821,Barbara,Johnson,26.0,male,unknown,pistol,high,unknown,warning issued,3.0,37228.41,yes,Incident at 5094 Main St. Officer responded at scene.,25-34,50-64
